Table with row headers in column A and column headers in rows 9 through 11,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
"FINC-02. Age of Reference Person, by Total Money Income in 2015, Type of Family, Race and Hispanic Origin of Reference Person.",,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar16.pdf",,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2016 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Families as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with $250,000.  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,
All Primary Families,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Under 65 years,,,,,,,,,,,,,,65 years and over,,,,,Mean age
,,Total Under 65 years,15 to 24 years,25 to 34 years,,,35 to 44 years,,,45 to 54 years,,,55 to 64 years,,,Total 65 years and over,65 to 74 years,,,75 years and over,
,,,,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,c12,50 to 54 years,Total,55 to 59 years,60 to 64 years,,Total,65 to 69 years,70 to 74 years,,
....Total,"82,199","65,602","3,187","12,911","5,357","7,554","16,915","8,476","8,440","17,093","8,494","8,599","15,496","8,431","7,065","16,597","10,533","6,354","4,179","6,064",49.8
"Under $5,000","2,083","1,855",284,561,262,299,432,242,191,316,162,155,261,110,150,229,156,99,57,73,42.0
"$5,000 to  $9,999","1,576","1,403",184,396,196,200,349,170,179,254,139,115,220,107,113,172,92,61,31,80,43.0
"$10,000 to $14,999","2,248","1,767",197,469,225,244,450,223,228,340,175,165,311,163,148,481,263,157,105,218,47.5
"$15,000 to $19,999","2,816","2,160",179,556,260,296,558,293,265,422,218,205,444,208,236,655,326,188,138,330,49.2
"$20,000 to $24,999","3,376","2,469",195,682,316,365,673,366,308,466,235,231,453,209,244,907,521,306,215,385,49.7
"$25,000 to $29,999","3,599","2,509",232,670,307,363,606,338,267,478,259,219,524,252,271,"1,090",581,321,260,509,51.2
"$30,000 to $34,999","3,596","2,580",225,664,301,363,649,334,315,535,279,255,508,247,262,"1,016",514,256,258,501,50.8
"$35,000 to $39,999","3,455","2,474",159,655,324,332,580,304,276,623,319,304,457,223,234,981,570,278,291,411,51.0
"$40,000 to $44,999","3,265","2,425",175,569,274,294,620,339,281,523,278,245,538,257,281,840,423,255,168,418,50.7
"$45,000 to $49,999","3,156","2,268",149,517,218,299,536,276,260,527,276,251,538,296,242,888,515,270,245,373,51.7
"$50,000 to $54,999","3,255","2,500",129,531,214,316,606,297,309,635,308,327,599,309,291,755,428,265,163,326,50.8
"$55,000 to $59,999","2,766","2,103",122,440,184,256,533,262,272,519,261,258,488,292,196,663,425,227,198,238,50.5
"$60,000 to $64,999","2,890","2,226",113,474,184,290,553,285,268,581,277,304,505,251,254,664,422,270,152,243,50.4
"$65,000 to $69,999","2,583","2,044",89,399,150,249,495,252,243,572,289,283,490,256,233,539,345,201,143,194,50.2
"$70,000 to $74,999","2,687","2,134",110,395,135,260,580,291,289,554,276,278,496,275,221,553,364,238,125,190,49.8
"$75,000 to $79,999","2,717","2,234",76,441,188,253,585,282,303,568,256,313,563,294,270,483,335,202,134,147,49.6
"$80,000 to $84,999","2,448","1,958",55,386,160,226,513,273,240,562,260,302,443,254,189,489,338,224,114,151,50.0
"$85,000 to $89,999","2,214","1,839",59,355,172,183,478,232,245,471,250,221,476,246,230,375,252,156,96,123,49.4
"$90,000 to $94,999","2,177","1,738",55,363,148,215,381,166,216,480,252,227,458,230,228,439,282,160,121,157,50.6
"$95,000 to $99,999","1,871","1,516",46,291,111,179,470,261,209,375,174,201,335,193,141,355,262,149,113,93,49.2
"$100,000 to $104,999","2,098","1,761",35,322,124,197,506,276,231,459,240,219,438,264,174,337,261,177,83,77,49.0
"$105,000 to $109,999","1,830","1,557",25,246,89,157,431,193,238,480,228,252,374,254,120,273,221,142,79,52,49.2
"$110,000 to $114,999","1,764","1,449",24,240,81,160,389,191,198,405,221,184,390,219,172,315,226,133,93,89,50.4
"$115,000 to $119,999","1,458","1,208",12,163,62,102,363,180,182,324,161,163,347,212,135,250,181,126,55,69,50.6
"$120,000 to $124,999","1,579","1,384",26,181,67,114,398,205,194,424,208,216,355,197,158,195,154,94,60,41,49.1
"$125,000 to $129,999","1,334","1,121",26,180,60,120,281,133,147,350,160,190,284,140,144,213,164,109,55,49,50.0
"$130,000 to $134,999","1,210","1,019",16,167,49,118,264,107,157,294,123,171,278,158,120,191,126,75,51,65,50.5
"$135,000 to $139,999","1,184",993,11,161,45,116,241,128,113,312,153,158,269,148,121,191,148,100,48,42,50.3
"$140,000 to $144,999","1,017",865,13,124,39,84,230,101,129,276,164,112,222,132,90,153,123,88,35,30,50.0
"$145,000 to $149,999",902,779,14,110,34,76,225,92,132,222,105,117,209,126,83,123,107,68,39,16,49.5
"$150,000 to $154,999","1,070",933,12,152,51,101,256,113,142,318,154,164,196,121,75,137,109,71,38,29,48.7
"$155,000 to $159,999",825,709,7,79,22,57,197,90,106,258,134,124,169,68,100,116,93,62,31,23,50.3
"$160,000 to $164,999",849,754,13,102,37,66,216,106,110,249,123,126,173,121,53,95,68,44,24,27,48.5
"$165,000 to $169,999",605,530,10,75,31,44,115,62,53,173,73,100,156,91,66,75,57,39,18,18,49.9
"$170,000 to $174,999",690,588,15,59,27,32,134,73,62,203,78,125,176,109,67,102,84,52,32,18,50.9
"$175,000 to $179,999",586,501,10,45,6,39,139,68,71,163,95,68,144,77,67,85,74,49,25,11,50.4
"$180,000 to $184,999",593,505,8,54,21,33,120,61,60,183,94,89,139,89,50,87,67,36,31,21,50.8
"$185,000 to $189,999",434,385,5,62,11,51,78,33,46,121,56,65,120,91,28,48,39,24,15,9,49.7
"$190,000 to $194,999",486,428,5,51,25,26,147,72,76,119,50,69,106,50,56,58,49,36,14,9,49.0
"$195,000 to $199,999",348,298,2,23,6,16,78,38,40,87,40,46,108,65,43,50,42,26,16,7,52.0
"$200,000 and over","6,561","5,633",66,505,141,364,"1,459",668,791,"1,869",889,980,"1,734","1,028",706,928,727,520,207,201,51.1
Median income (dollars),"70,697","74,654","37,759","56,775","49,881","62,086","76,780","74,254","79,340","85,748","84,527","87,225","83,813","89,205","77,227","57,360","65,387","70,495","59,034","46,322",(X)
..Standard error (dollars),361,577,"1,342",798,"1,159",956,654,"1,316","1,187","1,108","1,467","1,651","1,260","1,730","1,309",895,"1,039","1,781","1,359",781,(X)
Mean income (dollars),"92,673","96,532","51,979","73,665","65,042","79,781","98,368","94,503","102,250","110,394","108,300","112,462","107,453","112,336","101,626","77,418","85,999","91,237","78,036","62,513",(X)
